"IID" "fromBP" "toBP"
"I7579" 3402 3296
"I7580" 3148 3026
"I7554" 5269 5095
"I7568" 3487 3313
"I7570" 3622 3516
"I7571" 3359 3253
"I7573" 3555 3485
"I7574" 3321 3221
"I7575" 3168 3046
"I7576" 3094 2984
"I7577" 3267 3129
"I7578" 3141 3019
"I7626" 3296 3166
"I7627" 3322 3214
"I7640" 3352 3262
"I0157.SG" 1262 1192
"I0159.SG" 1281 1187
"I0160.SG" 2044 1902
"I0769.SG" 1492 1406
"I0773.SG" 1522 1436
"I0774.SG" 1507 1431
"I0777.SG" 1503 1427
"I2636" 5443 5351
"I2418" 4301 4173
"I2457" 4110 4002
"bally.SG" 5233 5029
"rath1.SG" 3945 3849
"rath2.SG" 3900 3738
"rath3.SG" 3632 3528
"3DT26.SG" 1837 1663
"6DT18.SG" 1837 1663
"6DT21.SG" 1837 1663
"6DT22.SG" 1837 1663
"6DT3.SG" 1837 1663
"NO3423.SG" 1287 1113
"I2445" 4098 3998
"I2452" 4101 4003
"I2454" 4092 3992
"I2980" 5256 5090
"I2981" 3776 3646
"I2988" 5441 5353
"I3136" 5443 5351
"I3138" 5085 4911
"I3255" 4053 3935
"I2977" 4883 4803
"I2978" 5236 5044
"I3133" 5529 5363
"I3256" 4121 4005
"I2979" 5213 4995
"I3134" 5544 5378
"I3135" 5569 5465
"I3132" 3981 3873
"I1767" 4103 3987
"I2630" 4512 4430
"I2631" 5033 4881
"I2633" 5674 5604
"I2635" 5570 5476
"I2637" 5424 5326
"I2650" 5420 5340
"I2651" 5229 5091
"I2655" 3360 3262
"I2659" 5668 5606
"I2660" 5441 5347
"I2691" 5642 5584
"I2859" 2841 2779
"I2860" 2859 2789
"I2932" 4493 4373
"I2933" 4914 4840
"I2934" 5236 5040
"I2935" 5222 5008
"I3005" 5702 5612
"I3041" 5701 5179
"I3085" 5240 5058
"I3130" 2888 2800
"I4950" 4539 3961
"I5512" 4539 3961
"I5513" 4539 3961
"I2417" 4365 4135
"I2443" 4162 4020
"I2447" 3984 3892
"I2450" 4318 4178
"I2458" 3382 3280
"I2461" 4047 3903
"I2462" 4001 3883
"I5367" 4375 4249
"I5379" 4387 4279
"I3082" 3421 3351
"I6747" 5570 5486
"I6751" 5708 5592
"I6753" 5522 5088
"I6757" 5566 5420
"I6759" 5566 5488
"I6766" 5475 4725
"I6775" 4323 3977
"I6777" 4165 3935
"I2597" 4140 4020
"I2604" 4132 4014
"I2606" 5189 4941
"I5377" 3810 3706
"I6680" 3740 3602
"bal004.SG" 5273 5099
"prs002-ALL_DATA.SG" 5711 5619
"prs009-ALL_DATA.SG" 5443 5353
"prs013-ALL_DATA.SG" 5461 5345
"prs016-ALL_DATA.SG" 5583 5495
"I3041_all.SG" 5701 5179
"I6746_all.SG" 5580 5472
"I6746.SG" 5580 5472
"I6747_all.SG" 5570 5486
"I6747.SG" 5570 5486
"I6751_all.SG" 5708 5592
"I6751.SG" 5708 5592
"I6753_all.SG" 5522 5088
"I6753.SG" 5522 5088
"I6757.SG" 5566 5420
"I6759.SG" 5566 5488
"I6760_all.SG" 5855 5707
"I6760.SG" 5855 5707
"I6766.SG" 5475 4725
"ANN1.SG" 5503 5307
"ARD2.SG" 5455 5347
"ASH1.SG" 5569 5433
"ASH3.SG" 5652 5566
"BG72.SG" 5548 5386
"CAK530.SG" 4780 4642
"CAK531.SG" 4777 4625
"CAK532.SG" 4933 4851
"CAK533.SG" 4974 4878
"CAK68.SG" 4572 4434
"CH448.SG" 5571 5463
"GNM1007.SG" 5405 5171
"GNM1076.SG" 5246 5024
"JP14.SG" 5574 5392
"KGH6.SG" 6712 6604
"MB6.SG" 5296 5088
"NG10.SG" 5240 5062
"PB186.SG" 5444 5342
"PB2031.SG" 5508 5354
"PB357.SG" 5590 5500
"PB443.SG" 5554 5394
"PB581.SG" 5480 5346
"PB672.SG" 5523 5361
"PB675.SG" 5251 5091
"PB768.SG" 5554 5396
"PN02.SG" 5601 5491
"PN03.SG" 5541 5379
"PN04.SG" 5825 5659
"PN05.SG" 5808 5650
"PN06.SG" 5540 5378
"PN07.SG" 5475 5345
"PN107.SG" 5770 5640
"PN10_PN113.SG" 5822 5670
"PN112.SG" 5605 5511
"PN12.SG" 5450 5316
"SRA62.SG" 6071 5931
"VK143.SG" 1045 975
"VK145.SG" 1045 975
"VK146.SG" 1045 975
"VK150.SG" 1045 975
"VK151.SG" 1045 975
"VK165.SG" 1045 975
"VK166.SG" 1045 975
"VK167.SG" 1045 975
"VK168.SG" 1045 975
"VK170.SG" 1108 992
"VK172.SG" 1045 975
"VK173.SG" 1045 975
"VK174.SG" 1045 975
"VK175.SG" 1045 975
"VK176.SG" 1045 975
"VK177.SG" 1045 975
"VK201.SG" 1505 1395
"VK202.SG" 1029 971
"VK203.SG" 1766 1412
"VK204.SG" 1029 971
"VK205.SG" 1043 997
"VK256.SG" 969 937
"VK257.SG" 969 937
"VK258.SG" 969 937
"VK259.SG" 969 937
"VK260.SG" 969 937
"VK261.SG" 969 937
"VK262.SG" 969 937
"VK263.SG" 969 937
"VK264.SG" 969 937
"VK449.SG" 969 937
"VK544.SG" 1129 1071
"VK545.SG" 1243 1127
"TRPTN_611.SG" 5491 5345
"TRPTN_613.SG" 5670 5608
